harga_per_luas_area,jumlah_garasi,jumlah_kamar_tidur,jumlah_kamar_mandi,lokasi,luas_bangunan,luas_tanah,tipe_bangunan
550000000.0,1.0,3.0,2.0,mapanget,137.0,137.0,rumah
10000000.0,,,,tikala,,930.0,tanah
,,,,malalayang,,38000.0,tanah
12000000.0,,,,sario,,10000.0,tanah
8000000.0,,,,tuminting,,17000.0,tanah
1500000000.0,2.0,7.0,5.0,mapanget,394.0,211.0,rumah
12500000000.0,,2.0,,sario,1485.0,1010.0,ruko
12500000.0,,,,tuminting,,5000.0,tanah
852000000.0,,2.0,,mapanget,113.0,56.0,ruko
2089999999.0,1.0,3.0,2.0,mapanget,105.0,144.0,rumah
1640000000.0,1.0,3.0,2.0,mapanget,89.0,105.0,rumah
1260000000.0,1.0,3.0,3.0,tikala,61.0,90.0,rumah
600000000.0,,,,mapanget,,690.0,tanah
350000000.0,,3.0,2.0,malalayang,200.0,190.0,rumah
2500000.0,,,,mapanget,,14000.0,tanah
8000000000.0,,3.0,2.0,sario,200.0,800.0,rumah
6000000000.0,5.0,16.0,8.0,mapanget,288.0,4000.0,rumah
12500000000.0,,,,mapanget,,8648.0,tanah
3000000000.0,,4.0,,wenang,420.0,110.0,ruko
500000000.0,,,,wanea,,266.0,tanah
325000000.0,,1.0,,perkamil,44.0,92.0,ruko
121000000000.0,,,,bunaken,,1241994.0,tanah
6480000000.0,,,,bunaken,,43225.0,tanah
2000000000.0,,,,mapanget,,280.0,tanah
,,,,paal dua,,30000.0,tanah
,,,,mapanget,,7000.0,tanah
25000000000.0,,46.0,,mapanget,1500.0,2000.0,hotel
1850000000.0,1.0,4.0,4.0,mapanget,220.0,105.0,rumah
6000000000.0,3.0,17.0,18.0,wenang,666.0,359.0,kost
2750000000.0,2.0,4.0,3.0,sario,240.0,327.0,rumah
1550000000.0,1.0,5.0,5.0,mapanget,300.0,240.0,rumah
650000000.0,,1.0,1.0,wenang,,46.0,apartemen
24000000000.0,,,,mapanget,,4000.0,tanah
30000000000.0,,,,mapanget,,6100.0,tanah
5000000000.0,,,,wenang,200.0,214.0,ruko
2000000000.0,,4.0,4.0,wanea,209.0,159.0,rumah
200000000.0,,,,tikala,,3200.0,tanah
12500000000.0,,6.0,,mapanget,566.0,8648.0,kantor
7500000000.0,,,,malalayang,,3002.0,tanah
898000000.0,1.0,2.0,1.0,mapanget,50.0,90.0,rumah
1830000000.0,1.0,3.0,3.0,mapanget,110.0,180.0,rumah
75000000000.0,,2.0,,singkil,6284.0,13914.0,gudang
809000000.0,1.0,2.0,1.0,malalayang,70.0,105.0,rumah
1220000000.0,1.0,3.0,2.0,malalayang,80.0,105.0,rumah
,,,,mapanget,,10000.0,tanah
20000000000.0,,1.0,,sario,2700.0,1300.0,gudang
1500000000.0,,2.0,,paal dua,230.0,84.0,ruko
2700000000.0,,3.0,,mapanget,225.0,75.0,ruko
150000000.0,,,,mapanget,,312.0,tanah
600000000.0,,3.0,1.0,mapanget,70.0,150.0,rumah
700000000.0,,,,perkamil,164.0,164.0,rumah
1650000000.0,2.0,4.0,2.0,mapanget,110.0,144.0,rumah
,,,,malalayang,,20000.0,tanah
3250000000.0,1.0,5.0,5.0,malalayang,500.0,650.0,rumah
900000000.0,,,,mapanget,,763.0,tanah
4250000000.0,1.0,5.0,5.0,malalayang,550.0,1100.0,rumah
1250000000.0,2.0,4.0,3.0,malalayang,250.0,287.0,rumah
6000000.0,,,,mapanget,,3475.0,tanah
3500000.0,,,,mapanget,,11.0,tanah
2000000000.0,1.0,5.0,3.0,malalayang,120.0,300.0,rumah
1080000000.0,1.0,2.0,2.0,tikala,61.0,72.0,rumah
2540000000.0,,1.0,,tikala,216.0,270.0,gudang
15000000.0,,,,tuminting,,24000.0,tanah
,,,,bunaken,,400000.0,tanah
,,,,mapanget,,100000.0,tanah
1800000000.0,,4.0,3.0,malalayang,300.0,300.0,rumah
30000000000.0,,3.0,,singkil,1800.0,5000.0,gudang
2200000000.0,1.0,4.0,3.0,tuminting,250.0,297.0,rumah
12000000000.0,2.0,5.0,5.0,mapanget,420.0,1746.0,rumah
,,,,tuminting,,10000.0,tanah
1750000000.0,1.0,5.0,4.0,tuminting,300.0,317.0,rumah
,,,,mapanget,,220000.0,tanah
